Id;Bereich;Sachnummer;Bezeichnung;Bezugsquelle;Preis;Breite Laserzuschnitt in mm;Breite Laserzuschnitt in mm;Bauteilgewicht in kg;Materialsärke in mm;Material;Anzahl der Abkantungen;Laseraussparungen vorhanden? Wenn ja: Gesamtlänge aller Aussparungen in mm
97;B;6196819;Platte;Eigenfertigungsteil;5,34;281;98;2,141;12;S355MC;0;125,6
98;B;6196932;Verstärkung;Eigenfertigungsteil;2,56;296,8;134,1;1,084;4;S355MC;1;0
99;B;1325229;Abdeckung;Eigenfertigungsteil;2,51;251,3;64,8;0,5;5;S355MC;3;0
100;B;4903938;Auflage li;Eigenfertigungsteil;5,97;463,5;188,3;4,766;5;S355MC;4;245,84
101;C;2652291;U-Blech;Eigenfertigungsteil;314,66;2488;842,8;81,07;5;S550MC;2;1878,384
102;C;6522934;Platte;Eigenfertigungsteil;12,45;346,7;285,5;4,098;12;S355MC;0;279,8
103;C;2985417;Platte;Eigenfertigungsteil;12,99;351,5;285,5;4,107;12;S355MC;0;279,8
104;C;2720591;Blech;Eigenfertigungsteil;12,14;2288,7;179,7;3,218;1;DC01-A;3;157,68
105;C;6522927;Deckel;Eigenfertigungsteil;300,02;2488;1187,3;46,186;5;S550MC;4;1045,28
106;C;6522974;Knotenblech;Eigenfertigungsteil;1,05;123;114;0,23;8;S355MC;0;0
107;C;6522968;Platte;Eigenfertigungsteil;4,06;418,6;134,5;1,96;5;S355MC;0;94,2
108;C;7487061;Bodenblech li;Eigenfertigungsteil;9,84;1554,6;512,1;6,662;5;S550MC;2;1259,516
109;C;7487057;Bodenblech re;Eigenfertigungsteil;9,84;1554,6;512,1;6,654;5;S550MC;2;1259,516
110;C;7507223;Getriebehalter;Eigenfertigungsteil;19,69;715,7;268,6;6,28;8;S355MC;3;368,14
111;C;7359993;U-Blech;Eigenfertigungsteil;112,8;1300;842,8;38,952;5;S550MC;2;1274,84
112;C;6538199;Lasche;Eigenfertigungsteil;12,17;287,9;332,2;4,048;12;S355MC;0;228,4
113;C;7201474;Blech;Eigenfertigungsteil;6,32;1172;179,8;1,634;1;DC01-A;3;157,68
114;C;7359961;Deckel;Eigenfertigungsteil;38,68;1113,3;430,6;17,856;6;S355MC;0;784,11
115;C;7298483;Flanschplatte;Eigenfertigungsteil;44,3;438,4;456,7;8,279;15;S355MC;0;1748,7
116;C;6536954;Platte;Eigenfertigungsteil;1,95;121,9;88,1;0,454;10;S355MC;0;143,184
117;C;6578947;Platte;Eigenfertigungsteil;14,89;313,9;294,4;3,419;12;S355MC;0;257,48
118;C;7359957;Lasche;Eigenfertigungsteil;8,8;283,6;197,9;2,312;15;S355MC;0;163,156
119;C;7359978;Deckel;Eigenfertigungsteil;157,74;1592,6;1178,2;28,184;5;S550MC;6;706,06
120;C;7487071;Bodenblech;Eigenfertigungsteil;24,32;645,4;830,6;6,296;5;S550MC;4;802,78
121;C;7487082;Bodenblech;Eigenfertigungsteil;26,44;709,7;831,5;5,77;5;S550MC;2;1585,92
122;C;6766829;Getriebekonsole;Eigenfertigungsteil;29,74;532,7;210;4,473;8;S355MC;3;524,38
123;C;6541047;U-Blech;Eigenfertigungsteil;179,36;2004,1;838,2;49,391;5;S550MC;2;1302,088
124;C;6540907;Platte;Eigenfertigungsteil;10,17;288;255;2,968;12;S355MC;0;157
125;C;6540758;Platte;Eigenfertigungsteil;8,85;287,8;233;2,847;12;S355MC;0;0
126;C;6540732;Knotenblech;Eigenfertigungsteil;6,26;342;84,3;1,652;15;S355MC;0;25,12
127;C;6542109;Deckel;Eigenfertigungsteil;295,3;1988,5;1479,8;37,901;5;S550MC;4;453,06
128;C;6541902;Lasche vo;Eigenfertigungsteil;13,58;695,7;211;6,262;8;S355MC;0;527,652
129;C;6541919;Lasche hi;Eigenfertigungsteil;12,79;690;198,7;5,926;8;S355MC;0;371,022
130;C;6541923;Lasche;Eigenfertigungsteil;14,76;516;298,6;4,67;10;S355MC;0;207,02
131;C;6541949;Lasche;Eigenfertigungsteil;14,14;520;292;4,569;10;S355MC;0;207,02
132;C;6549067;Verstärkung vo;Eigenfertigungsteil;10,37;394,7;289,5;3,864;12;S355MC;0;376,08
133;C;6557544;Verstärkung hi;Eigenfertigungsteil;10,28;366,1;177,2;3,429;12;S355MC;0;465,806
134;C;7785590;Flanschplatte;Eigenfertigungsteil;15,31;315,6;283;3,141;12;S355MC;0;258,24
135;C;6545057;Oberteil;Eigenfertigungsteil;33,8;1644,7;350,8;17,396;6;S355MC;0;987,6
136;C;6699547;Unterteil;Eigenfertigungsteil;113,17;1651;870,6;46,531;6;S355MC;4;2359,21
137;D;1323829;Lochplatte;Eigenfertigungsteil;11,71;332;225;3,01;8;S355MC;1;1661
138;D;1323787;Winkel;Eigenfertigungsteil;3,57;237;110;0,702;8;S355MC;1;523
139;D;1314593;Längsträger li ob;Eigenfertigungsteil;33,12;1184;418,9;15,5;6;S355MC;3;123
140;D;9559673;Einhängelasche;Eigenfertigungsteil;6,99;332;212;2,5;10;S355MC;0;125
141;D;1323617;Knotenblech;Eigenfertigungsteil;6,58;520;214;1,9864;6;S355MC;1;220
142;D;1323593;Rippe;Eigenfertigungsteil;3,76;149,8;125,8;0,2;12;S355MC;1;110
143;D;1323825;Konsole re;Eigenfertigungsteil;10,63;400;213;3,6756;10;S355MC;2;316
144;D;9756211;Lasche;Eigenfertigungsteil;1,48;136;72;0,219;6;S355MC ;1;167
145;D;1323834;Platte;Eigenfertigungsteil;3,57;96;96;0,42;8;S355MC ;0;266
146;D;1325142;Lasche re;Eigenfertigungsteil;3,58;276;130;0,5432;8;S355MC ;2;185
147;D;4947513;Knotenblech;Eigenfertigungsteil;2,09;319;138,5;0,7334;6;S355MC ;0;104
148;D;9755092;Knotenblech;Eigenfertigungsteil;2,43;226,3;220;0,7602;6;S355MC ;0;44
149;D;1323597;Lasche li;Eigenfertigungsteil;3,34;190,2;166,8;0,535;6;S355MC ;3;167
