Bereich,Bezeichnung,Bezugsquelle,Preis,Breite Laserzuschnitt in mm 1,Breite Laserzuschnitt in mm 2,Bauteilgewicht in kg,Materialsärke in mm,Material,Anzahl der Abkantungen,Gesamtlänge aller Aussparungen in mm,Flaeche,Dichte
C,Getriebekonsole,Eigenfertigungsteil,29.74,532.7,210.0,4.473,8.0,S355MC,3,524.38,111867.00000000001,39.9849821663225
C,Platte,Eigenfertigungsteil,10.17,288.0,255.0,2.968,12.0,S355MC,0,157.0,73440.0,40.41394335511983
C,Platte,Eigenfertigungsteil,8.85,287.8,233.0,2.847,12.0,S355MC,0,0.0,67057.40000000001,42.45616442033243
C,Knotenblech,Eigenfertigungsteil,6.26,342.0,84.3,1.652,15.0,S355MC,0,25.12,28830.6,57.3002296171429
C,Lasche vo,Eigenfertigungsteil,13.58,695.7,211.0,6.262,8.0,S355MC,0,527.652,146792.7,42.65879706552164
C,Lasche hi,Eigenfertigungsteil,12.79,690.0,198.7,5.926,8.0,S355MC,0,371.022,137103.0,43.222978344748114
C,Lasche,Eigenfertigungsteil,14.76,516.0,298.6,4.67,10.0,S355MC,0,207.02,154077.6,30.309402534826607
C,Lasche,Eigenfertigungsteil,14.14,520.0,292.0,4.569,10.0,S355MC,0,207.02,151840.0,30.090885142255004
C,Verstärkung vo,Eigenfertigungsteil,10.37,394.7,289.5,3.864,12.0,S355MC,0,376.08,114265.65,33.81593681040628
C,Verstärkung hi,Eigenfertigungsteil,10.28,366.1,177.2,3.429,12.0,S355MC,0,465.806,64872.92,52.8571860184496
C,Flanschplatte,Eigenfertigungsteil,15.31,315.6,283.0,3.141,12.0,S355MC,0,258.24,89314.8,35.16774375579411
C,Oberteil,Eigenfertigungsteil,33.8,1644.7,350.8,17.396,6.0,S355MC,0,987.6,576960.76,30.151097277395436
C,Unterteil,Eigenfertigungsteil,113.17,1651.0,870.6,46.531,6.0,S355MC,4,2359.21,1437360.6,32.37253059531477
D,Lochplatte,Eigenfertigungsteil,11.71,332.0,225.0,3.01,8.0,S355MC,1,1661.0,74700.0,40.29451137884873
D,Winkel,Eigenfertigungsteil,3.57,237.0,110.0,0.702,8.0,S355MC,1,523.0,26070.0,26.927502876869966
D,Längsträger li ob,Eigenfertigungsteil,33.12,1184.0,418.9,15.5,6.0,S355MC,3,123.0,495977.6,31.251411354061155
D,Einhängelasche,Eigenfertigungsteil,6.99,332.0,212.0,2.5,10.0,S355MC,0,125.0,70384.0,35.51943623550807
D,Knotenblech,Eigenfertigungsteil,6.58,520.0,214.0,1.9864,6.0,S355MC,1,220.0,111280.0,17.850467289719624
D,Rippe,Eigenfertigungsteil,3.76,149.8,125.8,0.2,12.0,S355MC,1,110.0,18844.84,10.612984774612043
D,Konsole re,Eigenfertigungsteil,10.63,400.0,213.0,3.6756,10.0,S355MC,2,316.0,85200.0,43.140845070422536
D,Lasche,Eigenfertigungsteil,1.48,136.0,72.0,0.219,6.0,S355MC ,1,167.0,9792.0,22.36519607843137
D,Platte,Eigenfertigungsteil,3.57,96.0,96.0,0.42,8.0,S355MC ,0,266.0,9216.0,45.572916666666664
D,Lasche re,Eigenfertigungsteil,3.58,276.0,130.0,0.5432,8.0,S355MC ,2,185.0,35880.0,15.139353400222966
D,Knotenblech,Eigenfertigungsteil,2.09,319.0,138.5,0.7334,6.0,S355MC ,0,104.0,44181.5,16.599708022588644
D,Knotenblech,Eigenfertigungsteil,2.43,226.3,220.0,0.7602,6.0,S355MC ,0,44.0,49786.0,15.269352830112883
D,Lasche li,Eigenfertigungsteil,3.34,190.2,166.8,0.535,6.0,S355MC ,3,167.0,31725.36,16.86348082417347
